iter	Passed	Remaining
0	2	227
1	3	190
2	5	178
3	6	163
4	8	160
5	10	162
6	12	161
7	13	158
8	15	157
9	17	156
10	19	154
11	20	151
12	22	149
13	24	147
14	25	146
15	27	143
16	29	143
17	30	140
18	32	138
19	34	137
20	35	135
21	37	133
22	39	131
23	40	129
24	42	127
25	44	126
26	46	124
27	47	122
28	49	120
29	51	119
30	52	117
31	54	115
32	55	113
33	57	111
34	59	109
35	61	108
36	62	106
37	64	104
38	65	103
39	67	101
40	69	100
41	70	96
42	71	95
43	73	93
44	75	91
45	76	89
46	78	88
47	79	86
48	81	84
49	82	82
50	83	80
51	84	78
52	85	76
53	86	73
54	87	71
55	88	69
56	89	67
57	90	65
58	91	63
59	92	61
60	92	59
61	93	57
62	94	55
63	95	53
64	95	51
65	96	49
66	97	47
67	98	46
68	98	44
69	99	42
70	100	40
71	100	39
72	101	37
73	102	35
74	102	34
75	103	32
76	103	31
77	104	29
78	105	27
79	105	26
80	106	24
81	106	23
82	107	22
83	108	20
84	108	19
85	109	17
86	109	16
87	110	15
88	110	13
89	111	12
90	111	11
91	112	9
92	112	8
93	113	7
94	113	5
95	114	4
96	114	3
97	115	2
98	115	1
99	116	0
