iter	Passed	Remaining
0	85	85737
1	91	45415
2	94	31346
3	98	24491
4	103	20563
5	105	17505
6	107	15269
7	109	13571
8	111	12306
9	113	11263
10	115	10417
11	118	9724
12	121	9238
13	123	8678
14	124	8165
15	125	7724
16	126	7336
17	128	6998
18	129	6684
19	130	6410
20	131	6144
21	132	5894
22	133	5664
23	134	5457
24	134	5263
25	135	5084
26	136	4919
27	137	4764
28	138	4622
29	139	4494
30	139	4373
31	140	4257
32	141	4151
33	142	4049
34	143	3948
35	143	3854
36	144	3765
37	145	3678
38	145	3596
39	146	3518
40	147	3444
41	148	3379
42	149	3319
43	149	3256
44	150	3195
45	151	3137
46	151	3082
47	152	3027
48	153	2974
49	153	2924
50	154	2879
51	155	2839
52	156	2793
53	157	2753
54	158	2720
55	158	2679
56	159	2638
57	160	2600
58	160	2562
59	161	2525
60	161	2488
61	162	2453
62	163	2430
63	163	2397
64	164	2363
65	164	2331
66	165	2300
67	165	2269
68	165	2239
69	166	2210
70	166	2181
71	167	2154
72	167	2127
73	170	2129
74	170	2106
75	171	2084
76	171	2060
77	172	2038
78	173	2018
79	173	1998
80	174	1975
81	174	1954
82	174	1931
83	175	1910
84	175	1890
85	176	1871
86	176	1852
87	177	1835
88	177	1817
89	178	1800
90	178	1783
91	178	1766
92	179	1749
93	179	1732
94	180	1716
95	180	1700
96	180	1684
97	181	1669
98	181	1653
99	182	1638
100	182	1624
101	182	1609
102	183	1595
103	183	1582
104	184	1570
105	184	1558
106	185	1545
107	185	1533
108	186	1521
109	186	1509
110	187	1498
111	187	1487
112	188	1475
113	188	1465
114	189	1454
115	189	1444
116	189	1432
117	190	1422
118	190	1412
119	191	1401
120	191	1391
121	191	1380
122	192	1370
123	192	1360
124	193	1351
125	193	1341
126	193	1331
127	194	1322
128	194	1313
129	194	1303
130	195	1294
131	195	1286
132	195	1277
133	196	1268
134	196	1259
135	197	1251
136	197	1243
137	197	1235
138	198	1229
139	198	1221
140	199	1214
141	199	1206
142	200	1199
143	200	1192
144	201	1185
145	201	1179
146	202	1172
147	202	1166
148	203	1159
149	203	1152
150	203	1146
151	204	1140
152	204	1134
153	205	1127
154	205	1121
155	206	1115
156	206	1108
157	206	1102
158	207	1096
159	207	1090
160	207	1083
161	208	1078
162	208	1072
163	209	1066
164	209	1060
165	210	1055
166	210	1049
167	210	1043
168	211	1038
169	211	1032
170	211	1026
171	212	1021
172	212	1016
173	212	1010
174	213	1005
175	213	1001
176	214	996
177	214	992
178	215	987
179	216	986
180	217	982
181	217	978
182	218	973
183	218	969
184	219	965
185	219	960
186	220	956
187	220	952
188	221	951
189	222	950
190	225	953
191	225	949
192	225	944
193	226	941
194	227	937
195	227	933
196	230	938
197	230	935
198	231	931
199	231	927
200	232	923
201	232	919
202	233	915
203	233	912
204	234	908
205	234	904
206	234	900
